date,month,year,APN,ANT,AST,BRT,BRV,BRD,BTH,BLB,BOC,BMP,BQC,BWN,BWS,BDP,BIO,BUC,BCL,BTV,CCH,CVE,CMN,CFW,ALM,CPL,CSI,CAS,SLW,CHB,CHY,JNN,CLK,CLA,CGS,CMB,CTG,CYC,MNC,CNV,CUY,MHV,DLV,DMV,DNP,DON,DNL,DWN,EPK,ELC,ENR,ENG,FLR,FOL,FRL,FMD,FRD,MIL,GLK,GBR,GBL,PWL,GNT,DAV,HWE,HNS,HID,MEA,HNT,ICH,INL,MMW,INV,IRC,ISB,JCK,ATN,KNT,KRH,KES,LFY,LGT,HMT,HNN,HDG,LVD,TAH,LVY,LRA,LEW,LNG,LGV,CRW,LON,LSB,LVQ,LWB,CRY,HHL,LYS,SWB,MPL,EDN,MRT,MAT,MHW,MCO,MCS,MMR,MDO,BER,MOR,MRR,NCM,NAT,BUL,MCR,NHG,NML,NCA,ONF,HTH,ORO,LOT,PAR,HVS,PRR,PLL,PNF,PT6,PT7,BIT,PRS,PYM,QUL,RLC,RDN,RLF,RLL,RTD,SDB,SLN,SLS,SNN,SAT,SGB,SNL,SLF,LUS,SPB,SVT,PRU,SGC,SFL,SHA,SHV,SIV,SKN,SLB,SLC,JNK,SOL,SLJ,SLK,SPM,STP,STG,SCC,STD,SW3,TRM,TAB,TMT,TNM,CLE,TUL,TLC,TWT,UNV,KLM,USL,VIL,TAE,VLP,WRS,WHR,WHI,WSN
2000-02,2,2000,8891,16983,6155,19301,60150,33300,4609,81440,19635,4017,29180,36900,57267,28810,54920,111210,66955,43649,171741,99204,302290,109000,932957,11824,219600,291228,69238,9760,228100,8595,317940,285499,2486,5555,61032,14201,79994,31905,749,1663600,38862,67656,1735000,13800,4340,35358,49130,41134,24200,71376,1190,599000,9820,82200,45597,423200,4631,68758,6729,20948200,37900,60976,32280,7032,55587,24974000,39331,24822,14900,6876,267191,5783,178813,40400,302142,32895,3438,20853,4000,350,11341,31000,19507,7792,627800,5174,79285,14248,17588,71200,125000,33698,19961,88410,12475,58786,123600,4044,6295,52463,20000,827,810,165251,32978,8764,6107,17636,1564500,28669,4292,280150,7810,781986,727100,205906,2008000,22430,49847,216100,2765788,40238,193380,538300,120215,63500,540165,14505,33538,39618,9850,168883,7312,10669,25073,2067,67100,51500,3234,21933,33691,18457,45235,10891,1825778,768203,1057575,33390,75842,61000,4960,48547,3857423,95814,3351,39313,13876,54700,41234,568,10572,5341,76878,202461,39440,30557,6982,17126,36443,39815,61889,2720,2148973,55900,14580,7900,168463,406780,33310,22630,51712,52,262269,41258,207868,43915
2000-03,3,2000,8891,20313,6200,20344,61550,40200,4766,103520,31514,3938,28420,43400,55618,32480,54300,122655,72617,34591,188987,95926,280820,105300,972735,11344,225100,298997,70554,9696,207800,8605,343660,312949,4273,5555,45465,12425,89445,30101,923,1658000,38980,117783,1704000,14397,4170,40280,48500,43069,25000,67819,1327,674300,10600,82600,50046,462000,1988,83538,7126,20818690,36690,65593,30980,8088,62417,24659000,41061,22990,15000,11434,266192,5577,193303,36200,315650,32769,4077,20569,3850,350,11604,31000,19623,8067,627800,5260,87639,14128,19424,79800,132210,20187,20731,92520,12757,52545,128800,4033,8257,14765,20000,829,720,159386,33122,8854,5913,19022,1598400,26350,3760,318062,8176,786129,711900,198959,2012000,22430,41579,172600,2838641,40106,186620,535000,118535,64200,644764,13955,30751,36151,9800,164523,6366,11396,22918,2849,66600,47600,2450,23842,38616,16546,47514,19943,2026438,964558,1061880,35250,76350,67900,6000,48547,3751868,86840,4009,34201,14808,58500,41118,600,10363,4038,84554,204061,49640,48283,7082,16488,42909,45658,69779,2330,2093195,56400,26932,9558,187809,420978,38040,23171,43387,53,244567,40781,213572,49519
2000-04,4,2000,8891,23428,2000,20565,62450,66600,4836,123776,33626,3842,30560,56300,104166,28750,54160,128713,88410,46228,192917,91731,291580,104500,1039935,14798,226900,313403,70894,9690,225100,8806,351930,312945,4867,5555,75055,11911,91538,37573,906,1697200,39879,155163,1774000,33700,5730,44800,48370,43811,25495,69816,3020,697300,13500,110000,54627,516300,2873,92854,7090,20674200,36990,71610,31640,7082,65856,24213000,57845,34457,15500,21906,252779,7379,210811,50500,318622,32533,,21902,3830,350,11603,30650,19019,8116,664600,7600,84712,14105,17535,94000,130100,42856,20778,98030,31613,49830,161400,4005,15579,51719,20000,891,710,158039,33033,8344,5799,20900,1589600,23812,4220,322787,8101,843819,766200,201741,1996000,22430,43023,201700,3107588,41020,189660,575700,112650,79100,759485,12468,28206,32217,19800,162471,7541,11395,23364,7761,66600,46900,2010,23828,90077,17425,45886,25451,1876126,906783,969343,33660,78428,71800,10125,48178,4153279,82972,4757,38621,13573,63000,41189,663,10070,1853,119686,215947,48980,62996,6957,16573,89856,20306,43747,2860,2318747,61300,29308,5339,228611,475968,37420,23240,47960,,245781,40721,237300,55602
2000-05,5,2000,8891,22853,5428,20237,61260,97198,4755,125170,38820,3676,25700,67400,139043,31450,57920,128811,97433,43388,191755,88711,341190,104400,1084647,21606,224600,310734,71882,9650,268800,8717,339660,292954,4556,5555,119156,11911,90682,42878,856,1746900,39773,192544,1910000,63300,9190,40960,48140,43446,25100,68050,48101,775700,14100,128500,53539,511500,12156,91410,7098,21044800,39840,70874,31140,5408,61852,24047000,87509,44498,17000,22467,254029,8564,285697,69900,312685,32673,3679,21878,3790,350,11406,29667,17868,8065,733500,7850,82305,13926,14552,90900,125400,64319,20562,93650,51953,48173,194100,5394,18342,121526,20000,800,700,158140,30542,8523,5833,24278,1562000,20984,4151,311055,7932,933495,933800,201052,1984000,21328,48308,333900,3127657,40981,194040,593100,110008,79200,954375,12562,28995,38687,28000,160250,7025,11239,24640,15595,66300,47000,3200,23163,141953,18557,45885,28124,1462484,700520,762064,34470,75336,73000,9885,45063,4111519,114935,7862,37434,14340,62400,41117,656,9743,4863,172238,217404,48330,73335,6670,14825,142829,39485,62960,3380,2384064,65400,26932,0,270770,474493,36850,22980,82035,0,242937,40643,237300,113261
2000-06,6,2000,8250,22048,4298,19826,59510,97593,4573,104593,37703,3616,26040,62400,122766,39400,58700,118798,96985,43850,188503,83351,351330,97300,1062085,22120,221100,307710,71530,9450,266800,8143,318870,213703,3997,5555,101305,11415,82514,43041,789,1747000,39323,212109,1992000,64300,9220,36370,47530,42214,27210,66804,64407,772907,13900,121000,50002,501400,17659,76998,7102,21045000,48270,68260,31750,4417,52357,24047000,87779,43827,16900,15474,241652,10558,278747,67900,307650,31874,3754,21970,3730,350,10608,27923,16634,7981,734800,7530,77631,13808,12964,80400,124200,67364,20225,100980,45948,45354,176200,5500,18363,118383,19536,789,600,144720,28460,8585,5982,20020,1514200,18365,4028,288985,8194,900694,947100,190386,1957000,19335,47152,360800,2874068,40847,188710,593000,112584,72200,866823,13296,27919,34005,28500,157876,6820,10824,24229,15755,64700,44400,5187,21954,136228,18537,45479,27726,1051334,470885,580449,31790,74485,73500,8425,42777,3825179,133521,8481,38315,14182,56700,40358,701,9271,9743,172837,222269,48710,59473,6247,12691,110027,38938,62195,3300,2327765,65500,28316,0,255632,429008,35320,22460,114324,4,236980,40189,237736,125529
2000-07,7,2000,7295,20436,2941,18109,57360,96800,4597,79880,34976,3753,22830,60900,87802,30120,59390,102293,87689,41167,183094,77894,324510,67000,984792,22101,218129,300985,70752,9240,213500,7497,295850,157434,3395,5445,102583,10878,71424,38305,685,1670100,38143,229355,1881000,44000,8280,26450,46040,39164,25495,64862,50051,659600,13400,110300,46230,371600,16843,67262,6492,21568500,46840,65137,27050,3883,39340,22913000,87498,41446,15907,6690,226250,13574,215487,61700,299310,30939,3679,22242,3660,350,9939,25894,15398,7883,680600,6960,73453,13462,11969,73400,104400,59619,19846,102020,34146,42524,152300,3988,17313,83779,18505,784,781,130098,29258,8332,6089,19980,1463100,16982,4004,260195,8491,833632,845400,177545,1891000,17655,49767,343900,2413006,40257,194040,576100,111708,64100,566074,12146,29332,37406,23500,164144,6777,10111,24884,15088,65200,41500,5263,20621,114861,18638,44990,20458,771746,370461,401285,29030,73855,73900,6085,39207,3321200,130845,7289,33093,15804,49200,38212,665,8892,11543,156068,216483,49350,27820,5792,10473,39055,25621,48338,3790,2136500,65100,31290,0,217312,348327,33680,21970,108867,10,229578,39777,238727,82491
2000-08,8,2000,6590,18670,1962,15918,55875,91700,4771,64815,32418,3638,21770,56900,62326,18470,59180,85564,77497,41074,178403,71766,309260,40600,906957,20203,213316,295329,69379,9020,166200,6819,266480,98284,2851,5251,83969,10430,59343,34662,617,1710300,36087,240852,1748000,23400,7630,15740,44170,36245,19800,67138,36326,655900,10300,92600,42189,266900,16778,57364,5132,21304700,43930,61755,24800,3316,29032,22436000,88222,33491,14708,4050,218464,15630,165786,51700,287402,29538,3820,22075,3590,344,9386,24030,14322,7776,613000,5672,66808,13771,8775,65898,93500,31937,19466,101120,26201,39908,130700,2422,16190,46934,16510,786,751,114867,27226,8666,6109,25769,1418600,16466,4169,232720,8125,748130,749100,164425,1831000,15535,50246,314900,2033621,39113,194500,595200,111162,54900,390319,15017,32035,37285,17900,160859,5921,9470,24367,9145,64100,37000,5261,19000,90672,18457,44421,11138,666538,358947,307591,26480,73483,74100,6060,33952,3043522,124618,6231,33833,15744,29800,35736,671,8422,11368,129979,209512,39436,10065,5368,8301,7627,40961,64026,2520,1908500,65400,35240,0,176988,242824,31770,21611,89139,16,221618,39251,238055,64878
2000-09,9,2000,5918,17252,1139,13835,54350,70000,4727,47003,23310,3586,15230,56307,52518,11010,57630,80155,69421,39437,170840,66835,298700,40700,842714,18734,213439,284926,69951,8880,118400,5998,239510,65742,2306,5031,89490,10132,51572,31905,569,1522700,32986,260420,1691000,15800,6870,10300,42710,34059,16300,65549,23078,660700,7240,79100,40748,211900,16693,52570,4222,20939400,42770,59668,20760,2307,23233,22444000,85374,25969,13900,4219,214180,13574,145564,42400,283685,27902,3845,21714,3540,338,8978,22253,13801,7689,550500,4899,62297,13956,6504,59300,98800,27716,19220,100830,22468,38216,121900,1845,13150,25946,15920,788,751,102054,27329,8880,4994,19040,1390100,16044,3542,218110,7692,702880,687500,155678,1804000,15398,38057,286300,1919813,38759,191590,565900,110552,45800,360483,14556,30970,35797,13000,164359,5842,8849,24793,5375,42200,32400,4892,18061,71310,18257,44015,7511,850828,463193,387635,24740,73052,56900,6310,30396,2985131,111121,5275,41532,16144,22200,34302,654,8000,10526,110672,205819,37200,7150,5182,6681,8168,31655,55806,5150,1791050,62001,34400,0,132609,213660,30090,21170,79395,19,214472,38884,213200,37906
2000-10,10,2000,5442,16076,1228,11861,53580,49602,4492,35342,21200,3707,18300,48100,44871,9770,57250,71160,60730,40560,167548,66311,316580,39100,799057,17995,209293,270309,69276,8310,110500,6978,236680,49584,1705,2843,66780,6526,47948,24054,560,1348000,27388,297492,1655000,13597,4490,10008,41900,33618,0,52698,23324,579500,6900,68600,40449,222600,13800,51547,3325,20753000,43190,58146,22800,2594,20953,22435000,60386,19814,13600,4784,209216,10246,135417,35200,282200,26123,3615,22396,3540,350,8862,21006,13020,7651,501500,4550,60454,13779,4915,51200,105900,18640,19103,93510,16157,39118,120400,1994,8891,20190,16060,793,540,92284,22179,9266,6021,17834,1375500,15810,4201,216640,8346,663886,627900,151908,1822000,15291,28101,259800,1834794,38191,166310,587000,109595,35300,343194,9459,33215,38564,9960,165485,7072,8478,24802,1620,44400,27800,4330,17468,53172,17880,41376,6459,1051945,630641,421304,24890,72778,38800,6125,29310,2941357,87056,3140,39473,9940,11737,33485,587,7655,9850,96500,203500,37540,6126,5086,6307,12224,40627,64288,2450,1770780,53400,22975,0,127759,224479,29130,20980,78830,36,209542,38614,181816,59344
2000-11,11,2000,5507,15184,496,9925,52820,40900,4561,35589,17900,3466,19900,38600,30714,11950,56950,71185,48257,46120,164880,64728,315790,41200,752144,14681,207118,290829,65273,8260,114000,7898,237770,45958,1236,2887,45123,4096,52373,20325,542,1471300,23590,356058,1643000,5597,3180,13320,41481,33105,2550,70386,11186,560900,6876,51800,40410,269600,8780,51733,2880,20301600,44470,57296,26660,3495,21608,22405000,34316,18740,13500,5064,208940,9079,134439,34900,280730,24327,3463,22310,3520,347,8862,20559,12314,7624,436300,4340,59325,14517,2823,43500,112100,18602,19017,93790,7326,43990,103600,1670,7373,21764,16177,793,1200,76142,20096,8931,5806,15804,1368300,15617,4028,196380,8781,623198,602500,150840,1848000,15304,42402,234600,1761851,37952,165990,541500,109031,20500,378110,14104,32486,38872,9910,161970,6195,8341,11716,970,55700,22800,3700,16884,35532,15704,41056,5622,1299262,839085,460177,24240,72234,31200,6060,30533,2885680,83025,2063,32790,10600,14502,33033,708,7333,8400,83500,202900,38220,7263,5026,5975,12006,37818,61514,910,1744399,44700,20534,0,85385,269896,28130,20860,78432,20,203080,38268,191341,57200
